id,slug,name,primary_media_url,media_type,similar_names,instructions,muscles,equipment
ex-0001,sentadilla-trasera-con-barra-tecnica-base,Sentadilla trasera con barra - Tecnica base,,image,"{""Sentadilla trasera con barra"",""Sentadilla trasera con barra variante"",""Sentadilla trasera con barra tecnica base""}","{""Posicion inicial para sentadilla trasera con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante tecnica base: prioriza alineacion de rodillas, cadera y columna en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0002,sentadilla-trasera-con-barra-tempo-controlado,Sentadilla trasera con barra - Tempo controlado,,image,"{""Sentadilla trasera con barra"",""Sentadilla trasera con barra variante"",""Sentadilla trasera con barra tempo controlado""}","{""Posicion inicial para sentadilla trasera con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante tempo controlado: usa 3 segundos en la fase de descenso y 1 segundo en la fase de subida."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0003,sentadilla-trasera-con-barra-pausa-isometrica,Sentadilla trasera con barra - Pausa isometrica,,image,"{""Sentadilla trasera con barra"",""Sentadilla trasera con barra variante"",""Sentadilla trasera con barra pausa isometrica""}","{""Posicion inicial para sentadilla trasera con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante pausa isometrica: agrega una pausa de 2 segundos en el punto de mayor tension."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0004,sentadilla-trasera-con-barra-unilateral-alternada,Sentadilla trasera con barra - Unilateral alternada,,image,"{""Sentadilla trasera con barra"",""Sentadilla trasera con barra variante"",""Sentadilla trasera con barra unilateral alternada""}","{""Posicion inicial para sentadilla trasera con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante unilateral alternada: trabaja un lado por vez y alterna sin perder estabilidad."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0005,sentadilla-trasera-con-barra-fuerza,Sentadilla trasera con barra - Fuerza,,image,"{""Sentadilla trasera con barra"",""Sentadilla trasera con barra variante"",""Sentadilla trasera con barra fuerza""}","{""Posicion inicial para sentadilla trasera con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante fuerza: elige una carga desafiante y ejecuta repeticiones tecnicamente limpias."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0006,sentadilla-trasera-con-barra-resistencia,Sentadilla trasera con barra - Resistencia,,image,"{""Sentadilla trasera con barra"",""Sentadilla trasera con barra variante"",""Sentadilla trasera con barra resistencia""}","{""Posicion inicial para sentadilla trasera con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante resistencia: usa carga moderada y acumula mas repeticiones con ritmo constante."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0007,sentadilla-trasera-con-barra-rango-completo,Sentadilla trasera con barra - Rango completo,,image,"{""Sentadilla trasera con barra"",""Sentadilla trasera con barra variante"",""Sentadilla trasera con barra rango completo""}","{""Posicion inicial para sentadilla trasera con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante rango completo: busca el mayor rango de movimiento seguro en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0008,sentadilla-trasera-con-barra-circuito-metabolico,Sentadilla trasera con barra - Circuito metabolico,,image,"{""Sentadilla trasera con barra"",""Sentadilla trasera con barra variante"",""Sentadilla trasera con barra circuito metabolico""}","{""Posicion inicial para sentadilla trasera con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante circuito metabolico: manten descansos cortos para elevar demanda cardiovascular."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0009,sentadilla-frontal-con-barra-tecnica-base,Sentadilla frontal con barra - Tecnica base,,image,"{""Sentadilla frontal con barra"",""Sentadilla frontal con barra variante"",""Sentadilla frontal con barra tecnica base""}","{""Posicion inicial para sentadilla frontal con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante tecnica base: prioriza alineacion de rodillas, cadera y columna en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""core"", ""name"": ""Core"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0010,sentadilla-frontal-con-barra-tempo-controlado,Sentadilla frontal con barra - Tempo controlado,,image,"{""Sentadilla frontal con barra"",""Sentadilla frontal con barra variante"",""Sentadilla frontal con barra tempo controlado""}","{""Posicion inicial para sentadilla frontal con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante tempo controlado: usa 3 segundos en la fase de descenso y 1 segundo en la fase de subida."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""core"", ""name"": ""Core"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0011,sentadilla-frontal-con-barra-pausa-isometrica,Sentadilla frontal con barra - Pausa isometrica,,image,"{""Sentadilla frontal con barra"",""Sentadilla frontal con barra variante"",""Sentadilla frontal con barra pausa isometrica""}","{""Posicion inicial para sentadilla frontal con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante pausa isometrica: agrega una pausa de 2 segundos en el punto de mayor tension."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""core"", ""name"": ""Core"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0012,sentadilla-frontal-con-barra-unilateral-alternada,Sentadilla frontal con barra - Unilateral alternada,,image,"{""Sentadilla frontal con barra"",""Sentadilla frontal con barra variante"",""Sentadilla frontal con barra unilateral alternada""}","{""Posicion inicial para sentadilla frontal con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante unilateral alternada: trabaja un lado por vez y alterna sin perder estabilidad."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""core"", ""name"": ""Core"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0013,sentadilla-frontal-con-barra-fuerza,Sentadilla frontal con barra - Fuerza,,image,"{""Sentadilla frontal con barra"",""Sentadilla frontal con barra variante"",""Sentadilla frontal con barra fuerza""}","{""Posicion inicial para sentadilla frontal con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante fuerza: elige una carga desafiante y ejecuta repeticiones tecnicamente limpias."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""core"", ""name"": ""Core"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0014,sentadilla-frontal-con-barra-resistencia,Sentadilla frontal con barra - Resistencia,,image,"{""Sentadilla frontal con barra"",""Sentadilla frontal con barra variante"",""Sentadilla frontal con barra resistencia""}","{""Posicion inicial para sentadilla frontal con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante resistencia: usa carga moderada y acumula mas repeticiones con ritmo constante."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""core"", ""name"": ""Core"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0015,sentadilla-frontal-con-barra-rango-completo,Sentadilla frontal con barra - Rango completo,,image,"{""Sentadilla frontal con barra"",""Sentadilla frontal con barra variante"",""Sentadilla frontal con barra rango completo""}","{""Posicion inicial para sentadilla frontal con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante rango completo: busca el mayor rango de movimiento seguro en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""core"", ""name"": ""Core"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
ex-0016,sentadilla-frontal-con-barra-circuito-metabolico,Sentadilla frontal con barra - Circuito metabolico,,image,"{""Sentadilla frontal con barra"",""Sentadilla frontal con barra variante"",""Sentadilla frontal con barra circuito metabolico""}","{""Posicion inicial para sentadilla frontal con barra: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante circuito metabolico: manten descansos cortos para elevar demanda cardiovascular."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""core"", ""name"": ""Core"", ""image_url"": null}]","[{""id"": ""barbell"", ""name"": ""Barra"", ""icon_url"": null}]"
